,MATCH,TEAM,match,team,passes completed,total passes,passes acc,goals for,total shots,on-target,possession,fouls committed,fouls suffered,distance,distance poss,offsides,distance not poss,yellow,red,high intensity,low intensity,sprints,time opp half,time opp third,goals_against,WDL,year
93,47,ESP,47,ESP,617,734,81.61538462,2,9,3,59,13,20,103.66,44.77,1,35.602,0,0,9.230769231,82.38461538,886.0,47.46153846,17.0,1,1,2010
94,48,HON,48,HON,263,401,63.0,0,8,2,50,18,11,94.613,29.026999999999997,9,43.787,4,0,8.0,85.42857143,900.0,32.5,11.5,0,0,2010
95,48,SUI,48,SUI,485,611,74.57142857,0,17,5,50,12,17,104.758,47.203,2,34.247,1,0,9.357142857000001,82.5,1074.0,56.5,27.5,0,0,2010
96,49,KOR,49,KOR,424,596,70.30769231,1,15,5,52,12,10,108.369,49.449,0,38.656,0,0,9.615384615,81.69230769,1095.0,49.30769231,25.23076923,2,-1,2010
97,49,URU,49,URU,268,434,57.21428571,2,14,8,48,12,11,106.575,36.622,0,49.672,0,0,9.785714286000001,82.0,1212.0,29.85714286,12.78571429,1,1,2010
98,50,GHA,50,GHA,451,711,61.71428571,2,16,6,53,19,10,140.317,57.211000000000006,0,58.292,0,0,8.928571429,83.64285714,1341.0,35.57142857,12.07142857,1,1,2010
99,50,USA,50,USA,381,632,58.28571429,1,20,6,47,11,18,148.231,59.302,0,62.64,0,0,9.285714286000001,82.5,1465.0,46.57142857,20.42857143,2,-1,2010
100,51,ENG,51,ENG,357,508,66.0,1,19,9,51,6,7,106.896,40.616,0,43.126000000000005,0,0,9.785714286000001,82.35714286,1059.0,44.35714286,18.85714286,4,-1,2010
101,51,GER,51,GER,273,411,69.85714286,4,17,7,49,7,6,108.37700000000001,40.681,0,41.952,0,0,9.214285713999999,82.35714286,1003.0,42.21428571,17.0,1,1,2010
102,52,ARG,52,ARG,380,522,70.35714286,3,11,6,59,11,25,101.555,36.875,0,42.531000000000006,0,0,7.928571429,83.78571429,850.0,34.42857143,12.64285714,1,1,2010
103,52,MEX,52,MEX,389,522,74.15384615,1,16,6,41,26,11,108.071,42.763999999999996,0,42.475,0,0,8.846153846,82.30769231,998.0,45.23076923,19.46153846,3,-1,2010
104,53,NED,53,NED,391,527,69.71428571,2,16,9,51,17,18,103.024,39.196,2,40.061,2,0,8.0,84.64285714,957.0,43.35714286,16.21428571,1,1,2010
105,53,SVK,53,SVK,366,504,69.0,1,12,3,49,19,16,105.925,40.123000000000005,3,42.615,3,0,9.142857142999999,82.21428571,906.0,41.35714286,14.07142857,2,-1,2010
106,54,BRA,54,BRA,282,451,56.57142857,3,16,6,56,14,17,100.54899999999999,38.467,0,39.211999999999996,0,0,7.857142857,84.78571429,1005.0,35.78571429,12.78571429,0,1,2010
107,54,CHI,54,CHI,329,507,64.71428571,0,15,3,44,18,14,108.56200000000001,42.228,0,43.025,0,0,10.5,80.92857143,1273.0,44.71428571,18.78571429,3,-1,2010
108,55,JPN,55,JPN,225,428,49.28571429,3,12,5,44,29,23,133.069,40.468,0,56.695,0,0,9.142857142999999,83.57142857,1357.0,36.85714286,15.85714286,5,-1,2010
109,55,PAR,55,PAR,368,615,55.57142857,5,13,6,56,26,24,134.529,55.263000000000005,0,43.214,0,0,8.571428571,83.92857143,1387.0,47.64285714,20.5,3,1,2010
110,56,ESP,56,ESP,635,754,76.35714286,1,19,10,62,13,18,107.11,51.888000000000005,0,37.29,1,0,12.07142857,79.07142857,1078.0,43.35714286,17.78571429,0,1,2010
111,56,POR,56,POR,315,453,67.78571429,0,9,3,38,18,13,112.28399999999999,36.709,3,57.42,1,1,10.35714286,79.42857143,1013.0,35.07142857,12.78571429,1,-1,2010
112,57,BRA,57,BRA,325,435,76.69230769,1,15,4,58,20,17,96.199,34.806,2,35.721,1,1,7.461538462,85.84615385,936.0,39.84615385,16.38461538,2,-1,2010
113,57,NED,57,NED,307,422,66.91666667,2,11,5,42,19,20,97.68799999999999,34.385,2,36.961999999999996,4,0,8.0,85.16666667,957.0,39.5,15.25,1,1,2010
114,58,GHA,58,GHA,350,615,56.15384615,3,26,8,52,23,22,131.173,51.363,0,44.985,0,0,7.230769231,85.46153846,1093.0,43.46153846,19.61538462,5,-1,2010
115,58,URU,58,URU,254,493,53.0,5,14,6,48,23,20,135.74,45.345,0,54.208,0,0,8.071428571,84.64285714,1377.0,37.92857143,16.64285714,3,1,2010
116,59,ARG,59,ARG,446,623,68.0,0,20,7,61,20,13,100.485,43.043,0,37.163000000000004,0,0,8.615384615,83.61538462,995.0,45.84615385,21.46153846,4,-1,2010
117,59,GER,59,GER,334,529,59.64285714,4,18,6,39,14,18,106.85600000000001,37.207,0,46.583,0,0,9.071428571,82.42857143,993.0,32.28571429,13.07142857,0,1,2010
118,60,ESP,60,ESP,532,672,78.35714286,1,16,6,62,12,23,101.087,46.745,1,28.195999999999998,2,0,7.642857143,84.42857143,812.0,43.21428571,18.71428571,0,1,2010
119,60,PAR,60,PAR,190,347,54.5,0,9,4,38,25,11,105.689,26.590999999999998,2,52.676,4,0,8.214285713999999,84.42857143,1054.0,40.14285714,12.85714286,1,-1,2010
120,61,NED,61,NED,390,610,58.23076923,3,11,7,64,16,13,108.39,44.632,5,39.760999999999996,3,0,9.230769231,82.76923077,1002.0,34.0,12.30769231,2,1,2010
121,61,URU,61,URU,326,565,56.61538462,2,12,6,36,15,15,110.59100000000001,39.016,4,48.141000000000005,2,0,8.923076923,83.0,1071.0,45.30769231,21.92307692,3,-1,2010
122,62,ESP,62,ESP,590,731,69.71428571,1,13,5,61,7,9,109.335,47.625,1,47.82899999999999,0,0,12.0,79.35714286,1052.0,41.35714286,19.0,0,1,2010
123,62,GER,62,GER,441,589,69.35714286,0,5,2,39,9,7,111.72399999999999,44.865,2,52.725,0,0,9.642857142999999,81.35714286,1031.0,38.14285714,17.42857143,1,-1,2010
124,63,GER,63,GER,393,591,59.71428571,3,18,7,58,11,12,107.914,45.828,0,39.888000000000005,0,0,9.142857142999999,82.57142857,1004.0,38.71428571,15.64285714,2,1,2010
125,63,URU,63,URU,303,485,57.23076923,2,16,7,42,13,10,105.759,37.692,0,46.551,0,0,9.076923077,83.15384615,1173.0,41.23076923,16.61538462,3,-1,2010
126,64,ESP,64,ESP,542,715,72.85714286,1,19,6,60,19,28,136.362,54.099,6,44.827,5,0,8.357142857000001,83.85714286,1220.0,47.35714286,19.78571429,0,1,2010
127,64,NED,64,NED,294,475,61.5,0,13,5,40,28,18,134.218,42.056000000000004,7,56.06100000000001,9,1,8.357142857000001,84.42857143,1147.0,33.5,12.21428571,1,-1,2010
0,1,BRA,1,BRA,433,566,67.78571429,3,14,9,61,5,20,102.09200000000001,40.566,1,31.48,2,0,9.571428571,83.28571429,329.0,49.14285714,27.92857143,1,1,2014
1,1,CRO,1,CRO,284,410,67.07692308,1,10,4,39,21,5,109.164,32.441,0,45.832,2,0,9.461538462,82.0,334.0,33.46153846,15.07692308,3,-1,2014
2,2,CMR,2,CMR,284,391,70.38461538,0,10,4,38,12,9,100.065,27.962,3,38.934,1,0,7.538461538,85.92307692,318.0,41.61538462,19.61538462,1,-1,2014
3,2,MEX,2,MEX,484,598,74.64285714,1,9,5,62,11,11,104.435,38.438,5,30.041999999999998,1,0,9.357142857000001,83.0,320.0,44.07142857,18.0,0,1,2014
4,3,ESP,3,ESP,566,680,80.64285714,1,9,6,64,5,17,102.037,39.998000000000005,0,34.605,0,0,8.071428571,84.21428571,340.0,47.0,19.07142857,5,-1,2014
5,3,NED,3,NED,318,425,73.71428571,5,13,11,36,18,4,109.381,36.945,0,43.748999999999995,0,0,9.5,82.14285714,384.0,35.0,12.92857143,1,1,2014
6,4,AUS,4,AUS,324,434,72.07142857,1,13,6,35,18,8,115.89,32.605,1,54.831,3,0,10.92857143,79.28571429,388.0,36.85714286,15.92857143,3,-1,2014
7,4,CHI,4,CHI,615,729,82.0,3,11,9,65,9,18,113.55,50.997,1,33.257,1,0,10.71428571,80.57142857,475.0,49.57142857,21.0,1,1,2014
8,5,COL,5,COL,328,430,74.57142857,3,12,8,48,19,14,107.616,36.943000000000005,0,41.128,0,0,9.571428571,82.64285714,366.0,37.85714286,16.64285714,0,1,2014
9,5,GRE,5,GRE,377,501,75.28571429,0,12,7,52,14,17,104.851,39.888000000000005,0,36.408,0,0,9.214285713999999,83.14285714,325.0,44.28571429,21.5,3,-1,2014
10,6,CIV,6,CIV,456,570,77.71428571,2,20,10,58,12,13,97.225,39.681,3,31.274,2,0,7.714285714,85.85714286,299.0,44.92857143,19.85714286,1,1,2014
11,6,JPN,6,JPN,326,456,69.78571429,1,7,4,42,13,11,108.251,33.787,1,46.251999999999995,2,0,8.928571429,82.71428571,403.0,40.14285714,15.71428571,2,-1,2014
12,7,CRC,7,CRC,313,443,62.14285714,3,12,4,44,18,20,108.605,31.894000000000002,0,34.327,0,0,8.571428571,83.57142857,306.0,43.5,20.64285714,1,1,2014
13,7,URU,7,URU,387,513,74.21428571,1,9,5,56,20,18,104.258,32.419000000000004,0,30.92,0,0,8.642857142999999,83.35714286,275.0,42.35714286,17.21428571,3,-1,2014
14,8,ENG,8,ENG,467,544,85.07142857,1,18,8,44,8,12,107.25200000000001,40.389,0,45.937,0,0,8.214285713999999,83.78571429,301.0,52.14285714,28.42857143,2,-1,2014
15,8,ITA,8,ITA,606,679,85.92857143,2,12,5,56,12,8,110.458,45.973,0,43.791000000000004,0,0,9.0,82.14285714,301.0,30.57142857,12.64285714,1,1,2014
16,9,ECU,9,ECU,266,376,70.61538462,1,10,6,38,15,9,98.916,29.590999999999998,0,40.455999999999996,0,0,7.769230769,85.53846154,306.0,36.23076923,16.15384615,2,-1,2014
17,9,SUI,9,SUI,468,583,78.46153846,2,18,12,62,9,14,113.62799999999999,45.034,0,36.512,0,0,10.15384615,81.07692308,397.0,49.61538462,25.07692308,1,1,2014
18,10,FRA,10,FRA,624,717,84.07142857,2,20,10,71,13,12,108.179,49.888000000000005,1,29.48,3,0,9.571428571,81.92857143,338.0,59.71428571,32.14285714,0,1,2014
