MATCH,TEAM,match,team,passes completed,total passes,passes acc,goals for,total shots,on-target,possession,fouls committed,fouls suffered,distance,distance poss,offsides,distance not poss,yellow,red,high intensity,low intensity,sprints,time opp half,time opp third,goals_against,WDL,year
42,CRC,42,CRC,284,348,81.92857143,1,14,6,40,14,9,63.482,33.679,1,50.255,3,0,11.89285714,81.71742857,330,44.28571429,23.07142857,2,-1,2018
42,SUI,42,SUI,514,586,85,2,12,3,60,9,14,103.212,47.156,1,36.435,3,0,7.928571427,83.05392857,322,37.42857143,16.14285714,1,1,2018
43,GER,43,GER,633,719,86.21428571,0,26,6,70,7,15,65.293,56.491,0,29.865,0,0,8.919642859,82.79935714,375,57.35714286,34.28571429,2,-1,2018
43,KOR,43,KOR,176,237,77.5,2,11,5,30,16,6,117.647,27.974,0,60.008,0,0,10.57142857,82.48114286,406,29.42857143,12.21428571,0,1,2018
44,MEX,44,MEX,406,487,82.92857143,0,19,3,65,14,11,94.793,44.326,0,26.167,0,0,6.276785714,84.26314286,241,53.07142857,29.71428571,2,-1,2018
44,SWE,44,SWE,143,212,68.14285714,2,13,5,35,11,12,91.721,26.106,0,48.949,0,0,6.607142859,83.62671429,238,34.28571429,15.57142857,0,1,2018
45,BEL,45,BEL,490,556,87.38461538,1,15,4,52,14,11,56.1,42.42,0,45.472,0,0,9.25,82.24615385,339,33.69230769,12.38461538,0,1,2018
45,ENG,45,ENG,424,484,87.23076923,0,13,1,48,11,13,108.514,41.827,0,47.61,0,0,7.471153844,82.10907692,339,43.76923077,22.84615385,1,-1,2018
46,PAN,46,PAN,220,284,77.5,0,9,4,36,18,18,102.264,25.763,4,51.187,3,0,8.919642859,83.56307143,332,37.64285714,15.21428571,2,-1,2018
46,TUN,46,TUN,546,626,88,2,15,7,64,19,16,66.789,49.617,1,30.457,3,0,8.919642859,83.43578571,346,44.64285714,19.42857143,0,1,2018
47,JPN,47,JPN,478,557,80.78571429,0,10,3,54,11,8,102.453,37.488,0,40.163,0,0,7.267857141,84.00857143,309,39.71428571,17.5,1,-1,2018
47,POL,47,POL,382,462,79.15384615,1,11,2,46,8,11,89.395,35.726,0,38.68,0,0,6.759615387,84.645,241,44.07692308,20.61538462,0,1,2018
48,COL,48,COL,359,431,81.35714286,1,4,2,57,15,15,99.956,35.195,0,37.067,0,0,9.580357141,82.73571429,342,42.35714286,16.78571429,0,1,2018
48,SEN,48,SEN,219,281,73.21428571,0,8,3,43,15,14,96.789,34.091,0,37.669,0,0,9.25,83.18121429,325,43.57142857,19.42857143,1,-1,2018
49,POR,49,POR,489,584,82.64285714,1,20,5,61,13,13,106.844,52.099,0,29.743,0,0,6.9375,82.92664286,303,55.71428571,32.64285714,2,-1,2018
49,URU,49,URU,185,266,70.42857143,2,6,3,39,13,12,105.546,28.512,0,52.562,0,0,7.267857141,82.79935714,286,29,11.78571429,1,1,2018
50,ARG,50,ARG,471,547,82.92857143,3,9,4,59,15,21,96.331,40.432,1,32.565,5,0,9.25,83.754,319,45.92857143,22.42857143,4,-1,2018
50,FRA,50,FRA,295,351,81.21428571,4,9,4,41,21,15,97.271,30.132,0,43.041,3,0,8.919642859,83.3085,306,34.57142857,14.21428571,3,1,2018
51,ESP,51,ESP,1031,1137,83.53333333,3,25,9,75,5,17,137.009,77.012,0,31.691,0,0,7.708333335,83.9322,355,58.53333333,34.2,5,-1,2018
51,RUS,51,RUS,204,284,69.4,5,6,1,25,19,4,145.786,29.262,0,89.447,0,0,8.325,82.7442,372,27.8,13.8,3,1,2018
52,CRO,52,CRO,506,625,79.2,4,22,7,54,5,19,131.979,51.161,2,51.262,0,0,7.708333335,83.2788,412,42.46666667,20.06666667,3,1,2018
52,DEN,52,DEN,425,538,78.46666667,3,15,3,46,19,4,134.905,48.438,0,56.111,1,0,7.4,83.3382,377,39.2,17.06666667,4,-1,2018
53,BRA,53,BRA,330,398,83.35714286,2,21,10,47,6,18,99.198,34.366,0,43.038,0,0,9.910714286,83.11757143,344,34.85714286,14.5,0,1,2018
53,MEX,53,MEX,362,424,82.21428571,0,13,1,53,18,6,97.019,38.685,0,37.228,0,0,9.580357141,83.24485714,359,43.5,20.21428571,2,-1,2018
54,BEL,54,BEL,540,621,85.53846154,3,24,8,56,13,8,107.836,45.528,0,39.391,0,0,9.605769231,82.863,333,47.15384615,24,2,1,2018
54,JPN,54,JPN,374,453,81.38461538,2,11,4,44,9,12,108.889,36.129,0,49.742,0,0,10.67307692,82.3146923,380,35.46153846,13.38461538,3,-1,2018
55,SUI,55,SUI,501,599,79.38461538,0,18,4,63,13,11,102.731,48.971,0,29.496,1,1,7.115384613,83.47984615,288,51,28.38461538,1,-1,2018
