MATCH,TEAM,match,team,passes completed,total passes,passes acc,goals for,total shots,on-target,possession,fouls committed,fouls suffered,distance,distance poss,offsides,distance not poss,yellow,red,high intensity,low intensity,sprints,time opp half,time opp third,goals_against,WDL,year,ball_possession
41,SVK,41,SVK,292,422,61.57142857,3,12,4,,20,16,106.4,35.152,0,41.545,0,0,8.071428571,84.78571429,953,30.71428571,11.64285714,2,1,2010,0.57
42,NZL,42,NZL,215,362,60.76923077,0,4,0,,19,11,97.495,31.503,0,46.134,0,0,7.538461538,85,770,34.46153846,11.38461538,0,0,2010,0.46
42,PAR,42,PAR,439,580,70.23076923,0,17,5,,13,17,102.55,46.135,0,33.861,0,0,7.461538462,85,864,50.07692308,20.69230769,0,0,2010,0.54
43,DEN,43,DEN,464,592,76.35714286,1,19,7,,23,10,107.518,44.813,0,33.841,0,0,9.142857143,82,994,50.64285714,23.42857143,3,-1,2010,0.49
43,JPN,43,JPN,220,348,57,3,15,10,,10,23,112.904,34.123,0,47.896,0,0,10.28571429,81.35714286,1235,30.5,13.64285714,1,1,2010,0.51
44,CMR,44,CMR,431,616,67.78571429,1,15,3,,18,13,102.386,44.28,3,39.905,2,0,8.071428571,84,977,45.28571429,18.07142857,2,-1,2010,0.51
44,NED,44,NED,369,563,62.71428571,2,15,8,,15,17,104.397,38.98,6,45.788,3,0,8.357142857,83.71428571,956,38.78571429,11.85714286,1,1,2010,0.49
45,BRA,45,BRA,596,712,79.57142857,0,19,5,,18,10,102.222,50.544,0,31.619,0,0,8.785714286,83.28571429,965,52.28571429,23.21428571,0,0,2010,0.63
45,POR,45,POR,275,398,66.21428571,0,13,3,,11,16,108.585,32.693,0,55.794,0,0,9.714285714,81.92857143,1120,25.14285714,8.357142857,0,0,2010,0.37
46,CIV,46,CIV,470,622,74.42857143,3,28,14,,16,13,105.466,51.915,4,34.602,0,0,8.714285714,83.42857143,941,59,31.85714286,0,1,2010,0.71
46,PRK,46,PRK,242,414,59.75,0,7,3,,13,16,104.897,32.882,2,54.062,0,0,9.083333333,82.91666667,963,21.66666667,5.916666667,3,-1,2010,0.29
47,CHI,47,CHI,292,406,68.28571429,1,9,4,,21,13,100.296,32.258,3,45.934,4,1,10.28571429,80.85714286,1077,33.92857143,12.64285714,2,-1,2010,0.41
47,ESP,47,ESP,617,734,81.61538462,2,9,3,,13,20,103.66,44.77,1,35.602,0,0,9.230769231,82.38461538,886,47.46153846,17,1,1,2010,0.59
48,HON,48,HON,263,401,63,0,8,2,,18,11,94.613,29.027,9,43.787,4,0,8,85.42857143,900,32.5,11.5,0,0,2010,0.5
48,SUI,48,SUI,485,611,74.57142857,0,17,5,,12,17,104.758,47.203,2,34.247,1,0,9.357142857,82.5,1074,56.5,27.5,0,0,2010,0.5
49,KOR,49,KOR,424,596,70.30769231,1,15,5,,12,10,108.369,49.449,0,38.656,0,0,9.615384615,81.69230769,1095,49.30769231,25.23076923,2,-1,2010,0.52
49,URU,49,URU,268,434,57.21428571,2,14,8,,12,11,106.575,36.622,0,49.672,0,0,9.785714286,82,1212,29.85714286,12.78571429,1,1,2010,0.48
50,GHA,50,GHA,451,711,61.71428571,2,16,6,,19,10,140.317,57.211,0,58.292,0,0,8.928571429,83.64285714,1341,35.57142857,12.07142857,1,1,2010,0.53
50,USA,50,USA,381,632,58.28571429,1,20,6,,11,18,148.231,59.302,0,62.64,0,0,9.285714286,82.5,1465,46.57142857,20.42857143,2,-1,2010,0.47
51,ENG,51,ENG,357,508,66,1,19,9,,6,7,106.896,40.616,0,43.126,0,0,9.785714286,82.35714286,1059,44.35714286,18.85714286,4,-1,2010,0.51
51,GER,51,GER,273,411,69.85714286,4,17,7,,7,6,108.377,40.681,0,41.952,0,0,9.214285714,82.35714286,1003,42.21428571,17,1,1,2010,0.49
52,ARG,52,ARG,380,522,70.35714286,3,11,6,,11,25,101.555,36.875,0,42.531,0,0,7.928571429,83.78571429,850,34.42857143,12.64285714,1,1,2010,0.59
52,MEX,52,MEX,389,522,74.15384615,1,16,6,,26,11,108.071,42.764,0,42.475,0,0,8.846153846,82.30769231,998,45.23076923,19.46153846,3,-1,2010,0.41
53,NED,53,NED,391,527,69.71428571,2,16,9,,17,18,103.024,39.196,2,40.061,2,0,8,84.64285714,957,43.35714286,16.21428571,1,1,2010,0.51
53,SVK,53,SVK,366,504,69,1,12,3,,19,16,105.925,40.123,3,42.615,3,0,9.142857143,82.21428571,906,41.35714286,14.07142857,2,-1,2010,0.49
54,BRA,54,BRA,282,451,56.57142857,3,16,6,,14,17,100.549,38.467,0,39.212,0,0,7.857142857,84.78571429,1005,35.78571429,12.78571429,0,1,2010,0.56
54,CHI,54,CHI,329,507,64.71428571,0,15,3,,18,14,108.562,42.228,0,43.025,0,0,10.5,80.92857143,1273,44.71428571,18.78571429,3,-1,2010,0.44
55,JPN,55,JPN,225,428,49.28571429,3,12,5,,29,23,133.069,40.468,0,56.695,0,0,9.142857143,83.57142857,1357,36.85714286,15.85714286,5,-1,2010,0.44
55,PAR,55,PAR,368,615,55.57142857,5,13,6,,26,24,134.529,55.263,0,43.214,0,0,8.571428571,83.92857143,1387,47.64285714,20.5,3,1,2010,0.56
56,ESP,56,ESP,635,754,76.35714286,1,19,10,,13,18,107.11,51.888,0,37.29,1,0,12.07142857,79.07142857,1078,43.35714286,17.78571429,0,1,2010,0.62
56,POR,56,POR,315,453,67.78571429,0,9,3,,18,13,112.284,36.709,3,57.42,1,1,10.35714286,79.42857143,1013,35.07142857,12.78571429,1,-1,2010,0.38
57,BRA,57,BRA,325,435,76.69230769,1,15,4,,20,17,96.199,34.806,2,35.721,1,1,7.461538462,85.84615385,936,39.84615385,16.38461538,2,-1,2010,0.58
57,NED,57,NED,307,422,66.91666667,2,11,5,,19,20,97.688,34.385,2,36.962,4,0,8,85.16666667,957,39.5,15.25,1,1,2010,0.42
58,GHA,58,GHA,350,615,56.15384615,3,26,8,,23,22,131.173,51.363,0,44.985,0,0,7.230769231,85.46153846,1093,43.46153846,19.61538462,5,-1,2010,0.52
58,URU,58,URU,254,493,53,5,14,6,,23,20,135.74,45.345,0,54.208,0,0,8.071428571,84.64285714,1377,37.92857143,16.64285714,3,1,2010,0.48
59,ARG,59,ARG,446,623,68,0,20,7,,20,13,100.485,43.043,0,37.163,0,0,8.615384615,83.61538462,995,45.84615385,21.46153846,4,-1,2010,0.61
59,GER,59,GER,334,529,59.64285714,4,18,6,,14,18,106.856,37.207,0,46.583,0,0,9.071428571,82.42857143,993,32.28571429,13.07142857,0,1,2010,0.39
60,ESP,60,ESP,532,672,78.35714286,1,16,6,,12,23,101.087,46.745,1,28.196,2,0,7.642857143,84.42857143,812,43.21428571,18.71428571,0,1,2010,0.62
60,PAR,60,PAR,190,347,54.5,0,9,4,,25,11,105.689,26.591,2,52.676,4,0,8.214285714,84.42857143,1054,40.14285714,12.85714286,1,-1,2010,0.38
61,NED,61,NED,390,610,58.23076923,3,11,7,,16,13,108.39,44.632,5,39.761,3,0,9.230769231,82.76923077,1002,34,12.30769231,2,1,2010,0.64
61,URU,61,URU,326,565,56.61538462,2,12,6,,15,15,110.591,39.016,4,48.141,2,0,8.923076923,83,1071,45.30769231,21.92307692,3,-1,2010,0.36
62,ESP,62,ESP,590,731,69.71428571,1,13,5,,7,9,109.335,47.625,1,47.829,0,0,12,79.35714286,1052,41.35714286,19,0,1,2010,0.61
62,GER,62,GER,441,589,69.35714286,0,5,2,,9,7,111.724,44.865,2,52.725,0,0,9.642857143,81.35714286,1031,38.14285714,17.42857143,1,-1,2010,0.39
63,GER,63,GER,393,591,59.71428571,3,18,7,,11,12,107.914,45.828,0,39.888,0,0,9.142857143,82.57142857,1004,38.71428571,15.64285714,2,1,2010,0.58
63,URU,63,URU,303,485,57.23076923,2,16,7,,13,10,105.759,37.692,0,46.551,0,0,9.076923077,83.15384615,1173,41.23076923,16.61538462,3,-1,2010,0.42
64,ESP,64,ESP,542,715,72.85714286,1,19,6,,19,28,136.362,54.099,6,44.827,5,0,8.357142857,83.85714286,1220,47.35714286,19.78571429,0,1,2010,0.6
64,NED,64,NED,294,475,61.5,0,13,5,,28,18,134.218,42.056,7,56.061,9,1,8.357142857,84.42857143,1147,33.5,12.21428571,1,-1,2010,0.4
